Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133104-90912,RB,Kenny,Kenny Gainwell,Gainwell,10.633332994249132,18,5500,TB@CIN,TB,CIN,,,,,,RB/FLEX
133104-147315,WR,Jayden,Jayden Higgins,Higgins,6.489473844829359,19,5500,BUF@HOU,HOU,BUF,,,,,,WR/FLEX
133104-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,4.676923018235427,13,5500,WAS@PHI,PHI,WAS,,,,,,WR/FLEX
133104-86229,WR,Jahan,Jahan Dotson,Dotson,2.575000047683716,16,5400,ATL@PIT,ATL,PIT,,,,,,WR/FLEX
133104-120042,WR,Jalen,Jalen McMillan,McMillan,6.724999904632568,4,5400,TB@CIN,TB,CIN,Q,Knee,,,,WR/FLEX
133104-151789,WR,Adonai,Adonai Mitchell,Mitchell,4.75,16,5400,NYJ@TEN,NYJ,TEN,,,,,,WR/FLEX
133104-64808,TE,Juwan,Juwan Johnson,Johnson,8.3176466997932,17,5400,NO@DET,NO,DET,,,,,,TE/FLEX
133104-40687,RB,James,James Conner,Conner,9.766666412353516,3,5400,ARI@LAC,ARI,LAC,Q,Foot,,,,RB/FLEX
133104-201547,WR,Jalen,Jalen Coker,Coker,8.40000025431315,12,5400,CHI@CAR,CAR,CHI,,,,,,WR/FLEX
133104-86875,RB,Jordan,Jordan Mason,Mason,7.806250095367432,16,5400,GB@MIN,MIN,GB,,,,,,RB/FLEX
133104-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,7.541666666666667,12,5300,CLE@JAC,JAC,CLE,,,,,,RB/FLEX
133104-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,11.306249618530273,16,5300,NYJ@TEN,TEN,NYJ,,,,,,WR/FLEX
133104-83074,TE,Dallas,Dallas Goedert,Goedert,10.96875,16,5300,WAS@PHI,PHI,WAS,,,,,,TE/FLEX
133104-92575,RB,Isiah,Isiah Pacheco,Pacheco,5.984615619365986,13,5300,NO@DET,DET,NO,Q,Knee - mcl,,,,RB/FLEX
133104-158438,TE,Oronde,Oronde Gadsden II,Gadsden II,7.150000095367432,16,5300,ARI@LAC,LAC,ARI,,,,,,TE/FLEX
133104-184184,WR,Travis,Travis Hunter,Hunter,7.5428570338657925,7,5300,CLE@JAC,JAC,CLE,,,,,,WR/FLEX
133104-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,1.309090874411843,11,5300,BAL@IND,IND,BAL,,,,,,WR/FLEX
133104-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,4.625,16,5300,ATL@PIT,ATL,PIT,,,,,,WR/FLEX
133104-145558,TE,Dalton,Dalton Kincaid,Kincaid,10.014285496303014,14,5200,BUF@HOU,BUF,HOU,,,,,,TE/FLEX
133104-52436,TE,Mark,Mark Andrews,Andrews,6.294117647058823,17,5200,BAL@IND,BAL,IND,,,,,,TE/FLEX
133104-166112,RB,Ollie,Ollie Gordon II,Gordon II,2.9764704984777115,17,5200,MIA@LV,MIA,LV,,,,,,RB/FLEX
133104-166323,WR,Antonio,Antonio Williams,Williams,,0,5200,WAS@PHI,WAS,PHI,,,,,,WR/FLEX
133104-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,3.142105303312603,19,5200,ATL@PIT,ATL,PIT,,,,,,RB/FLEX
133104-88548,WR,Jalen,Jalen Tolbert,Tolbert,3.390909021550959,11,5200,MIA@LV,MIA,LV,,,,,,WR/FLEX
133104-92859,WR,Jalen,Jalen Nailor,Nailor,5.247058644014246,17,5200,MIA@LV,LV,MIA,,,,,,WR/FLEX
133104-85845,WR,Rashod,Rashod Bateman,Bateman,3.5307693481445312,13,5200,BAL@IND,BAL,IND,,,,,,WR/FLEX
133104-103587,TE,Brenton,Brenton Strange,Strange,7.453846271221455,13,5100,CLE@JAC,JAC,CLE,,,,,,TE/FLEX
133104-183649,WR,KC,KC Concepcion,Concepcion,,0,5100,CLE@JAC,CLE,JAC,,,,,,WR/FLEX
133104-174486,RB,Dylan,Dylan Sampson,Sampson,4.73999989827474,15,5100,CLE@JAC,CLE,JAC,,,,,,RB/FLEX
133104-128624,WR,Tez,Tez Johnson,Johnson,5.226666768391927,15,5100,TB@CIN,TB,CIN,Q,Groin,,,,WR/FLEX
133104-128633,RB,Kimani,Kimani Vidal,Vidal,8.928571428571429,14,5100,ARI@LAC,LAC,ARI,,,,,,RB/FLEX
